country,country isocode,year,DD regime,DD category,,Monarchy,Commonwealth,Monarch name,Monarch accession,Monarch birthyear,Female monarch (0: No; 1: Yes),Democracy,Presidential,President name,President accesion,President birthyear,Interim phase (more than 2 Presidents/year=1),Female president (0: No; 1: Yes),Colony,Colony of,Colony administrated by,Official name,Communist,Regime change lag,,,spatial democracy,,countrycode,,No. of chambers in parliament,proportional voting,Election system,No. of members in lower house,No. of members in upper house,No. of members in third house,New constitution,fullsuffrage,Suffrage restriction,electoral,,spatial electoral,,alternation,multiparty,free and fair election,,parliamentary election year,"Parliamentary election month, year",Postponed parliamentary election,Presidential election year,"Presidential election month, year",Postponed presidential election,
Albania,ALB,1992,0,Parliamentary democracy,,0,0,,,,,1,0,Sali Berisha,1992,1944,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,140,,,0,1,,3,,1.6,,1,1,1,,1,March 1992,0,0,,0,
Albania,ALB,1993,0,Parliamentary democracy,,0,0,,,,,1,0,Sali Berisha,1992,1944,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,Mixed-member SMD/PR,140,,,0,1,,3,,1.6,,1,1,1,,0,,0,0,,0,
Albania,ALB,1994,0,Parliamentary democracy,,0,0,,,,,1,0,Sali Berisha,1992,1944,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,140,,,0,1,,3,,1.6,,1,1,1,,0,,0,0,,0,
Albania,ALB,1995,0,Parliamentary democracy,,0,0,,,,,1,0,Sali Berisha,1992,1944,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,140,,,0,1,,3,,1.6,,1,1,1,,0,,0,0,,0,
Albania,ALB,1997,0,Parliamentary democracy,,0,0,,,,,1,0,Rexhep Qemal Meidani,1997,1944,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,Parallel SMD/PR,155,,,0,1,,3,,1.6,,1,1,1,,1,June 1997,0,0,,0,
Albania,ALB,1998,0,Parliamentary democracy,,0,0,,,,,1,0,Rexhep Qemal Meidani,1997,1944,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,Parallel SMD/PR,155,,,1,1,,3,,1.6,,1,1,1,,0,,0,0,,0,
Albania,ALB,1999,0,Parliamentary democracy,,0,0,,,,,1,0,Rexhep Qemal Meidani,1997,1944,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,155,,,0,1,,3,,1.6,,1,1,1,,0,,0,0,,0,
Albania,ALB,2000,0,Parliamentary democracy,,0,0,,,,,1,0,Rexhep Qemal Meidani,1997,1944,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,155,,,0,1,,3,,1.6,,1,1,1,,0,,0,0,,0,
Albania,ALB,2001,0,Parliamentary democracy,,0,0,,,,,1,0,Rexhep Qemal Meidani,1997,1944,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,155,,,0,1,,3,,2,,1,1,1,,1,June 2001,0,0,,0,
Albania,ALB,2002,0,Parliamentary democracy,,0,0,,,,,1,0,Rexhep Qemal Meidani,1997,1944,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,Mixed-member SMD/PR,140,,,0,1,,3,,2,,1,1,1,,0,,0,0,,0,
